sentence=1	But	but	but	CC	O	(h<root> / --LEX--  :ARG2 (m<o>))	contrast-01	(o(s()))	0	ROOT	true
12	detailed	_	detail	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
13	various	_	various	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
14	security	_	security	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
15	vulnerabilities	_	vulnerability	NNS	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$	(s())	12	APP_o	true
16	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
17	the	_	the	DT	O	_	person	_	0	IGNORE	true
18	NEMISIS	_name_	NEMISIS	NNP	O	(p<root> / --LEX--  :mod-of (s<mod>))	_NAME_	(mod())	19	MOD_mod	true
19	database	_	database	NN	O	(d<root> / --LEX--)	$LEMMA$	()	15	APP_s	true
20	which	_	which	WDT	O	_	amr-unknown	_	0	IGNORE	true
21	is	_	be	VBZ	O	_	person	_	0	IGNORE	true
22	used	_	use	VBN	O	(i<root> / --LEX--  :ARG0 (t<s>)  :ARG2 (f<o2>)  :ARG1 (a<o>))	$LEMMA$-01	(o2(s()), o())	19	MOD_o	true
23	by	_	by	IN	O	_	have-org-role-91	_	0	IGNORE	true
24	officers	_	officer	NNS	O	(p<root> / person  :ARG0-of (h / have-org-role-91  :ARG2 (e / --LEX--)))	$LEMMA$	()	22	APP_s	true
25	to	_	to	TO	O	_	person	_	0	IGNORE	true
26	track	_	track	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	27	APP_op1	true
27	and	_	and	CC	O	(a<root> / --LEX--  :op1 (g<op1>)  :op2 (r<op2>))	$LEMMA$	(op2(o(), s()), op1(o(), s()))	22	APP_o2	true
28	prosecute	_	prosecute	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	27	APP_op2	true
29	environmental	_	environmental	JJ	O	(d<root> / --LEX--)	environment	()	30	APP_s	true
30	law-breakers	_	law-breaker	NNS	O	(p<root> / person  :ARG0-of (w / --LEX--  :ARG1 (p2<s>)))	break-18	(s())	27	APP_o	true
31	.	_	.	.	O	_	person	_	0	IGNORE	true

nodealignment=[30@@p@@person, 24@@p@@person, 28@@s@@prosecute-01, 8@@s@@string-entity, 12@@s@@detail-01, 18@@p@@_NAME_, 26@@s@@track-01, 13@@p@@various, 14@@p@@security, 15@@s@@vulnerability, 24@@e@@officer, 24@@h@@have-org-role-91, 4@@s@@person, 22@@i@@use-01, 30@@w@@break-18, 8@@explicitanon1@@B, 27@@a@@and, 11@@b@@page, 2@@d@@document, 19@@d@@database, 29@@d@@environment, 10@@p@@every, 7@@s@@protect-01, 6@@d@@stamp]
sentence=1	Listen	listen	listen	VB	O	(c<root> / --LEX--  :mode (explicitanon0 / imperative)  :ARG1 (y<s>))	$LEMMA$-01	(s())	0	ROOT	true
2	up,	_	up,	NN	O	_	say-01	_	0	IGNORE	true
3	kids:	_	kids:	NNP	O	_	and	_	0	IGNORE	true
4	You'll	you'll	you'll	RB	O	_	i	_	0	IGNORE	true
5	be	_	be	VB	O	_	person	_	0	IGNORE	true
6	working	_	work	VBG	O	(s<root> / --LEX--  :ARG0 (y<s>))	$LEMMA$-01	(s())	1	APP_s	true
7	with	_	with	IN	O	_	cause-01	_	0	IGNORE	true
8	a	_	a	DT	O	_	1	_	0	IGNORE	true
9	solution	_	solution	NN	O	(d<root> / --LEX--)	$LEMMA$	()	6	APP_s	true
10	that's	_	that's	PRP	O	(m<root> / --LEX--  :unit-of (a<mod>))	product-of	(mod())	13	MOD_mod	true
11	near	_	near	IN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-02	(s(), o())	9	MOD_s	true
12	a	_	a	DT	O	_	year	_	0	IGNORE	true
13	12	_	12	CD	O	(d<root> / --LEX--)	_NUMBER_	()	11	APP_o	true
14	on	_	on	IN	O	_	3	_	0	IGNORE	true
15	the	_	the	DT	O	_	person	_	0	IGNORE	true
16	pH	ph	ph	NN	O	(a<root> / --LEX--  :topic-of (w<mod>))	$LEMMA$	(mod())	17	MOD_mod	true
17	scale	_	scale	NN	O	(b<root> / --LEX--  :location-of (h<mod>))	$LEMMA$	(mod())	11	MOD_mod	true
18	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[1@@c@@listen-01, 9@@d@@solution, 10@@m@@product-of, 17@@b@@scale, 13@@d@@_NUMBER_, 11@@s@@near-02, 6@@s@@work-01, 1@@explicitanon0@@imperative, 16@@a@@ph]
sentence=1	Most	most	most	RBS	O	(s<root> / --LEX--  :degree-of (t<mod>))	$LEMMA$	(mod())	2	MOD_mod	true
2	notable	_	notable	JJ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$	(s(), o())	0	ROOT	true
3	among	_	among	IN	O	_	include-91	_	0	IGNORE	true
4	the	_	the	DT	O	_	include-91	_	0	IGNORE	true
5	city's	_	city'	NNS	O	(c<root> / country  :name (n / --LEX--)  :mod-of (p<mod>))	_NAME_	(mod())	7	MOD_mod	true
6	facelift	_	facelift	NN	O	(a<root> / --LEX--  :topic-of (w<mod>))	$LEMMA$-01	(mod())	7	MOD_mod	true
7	projects	_	project	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_o	true
8	are	_	be	VBP	O	_	person	_	0	IGNORE	true
9	the_Unification_of_Archaeological_Sites	_name_	Sites	NNPS	O	(f<root> / facility  :name (n2 / --LEX--))	_NAME_	()	32	APP_op1	true
10	-	_	-	,	O	_	$LEMMA$	_	0	IGNORE	true
11	which	_	which	WDT	O	_	$LEMMA$	_	0	IGNORE	true
12	connects	_	connect	VBZ	O	(b<root> / --LEX--  :ARG1 (i<o>)  :ARG2 (h<o2>)  :ARG0 (a<s>))	$LEMMA$-01	(o2(), s(), o())	9	MOD_s	true
13	the	_	the	DT	O	_	person	_	0	IGNORE	true
14	city's	_	city's	JJ	O	(c<root> / country  :name (n / --LEX--)  :mod-of (p<mod>))	_NAME_	(mod())	19	MOD_mod	true
15	classical	_	classical	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	17	MOD_mod	true
16	-	_	-	HYPH	O	_	$LEMMA$	_	0	IGNORE	true
17	era	_	era	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	19	MOD_mod	true
18	ruins	_	ruin	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	19	APP_op1	true
19	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	12	APP_o	true
20	monuments	_	monument	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	19	APP_op2	true
21	to	_	to	IN	O	_	$LEMMA$	_	0	IGNORE	true
22	each	_	each	DT	O	_	$LEMMA$	_	0	IGNORE	true
23	other	_	other	JJ	O	(d<root> / --LEX--)	$LEMMA$	()	12	APP_o2	true
24	through	_	through	IN	O	_	$LEMMA$	_	0	IGNORE	true
25	a	_	a	DT	O	_	$LEMMA$	_	0	IGNORE	true
26	network	_	network	NN	O	(m<root> / --LEX--  :instrument-of (f<mod>))	$LEMMA$	(mod())	12	MOD_mod	true
27	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
28	pleasant	_	pleasant	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$	(s())	30	MOD_s	true
29	pedestrianized	_	pedestrianize	VBN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	30	MOD_s	true
30	streets	_	street	NNS	O	(g<root> / --LEX--  :consist (r<mod>))	$LEMMA$	(mod())	26	MOD_mod	true
31	-	_	-	:	O	_	$LEMMA$	_	0	IGNORE	true
32	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	2	APP_s	true
33	the	_	the	DT	O	_	cause-01	_	0	IGNORE	true
34	restoration	_	restoration	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	restore-01	(s())	32	APP_op2	true
35	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
36	the	_	the	DT	O	_	person	_	0	IGNORE	true
37	picturesque	_	picturesque	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	42	MOD_mod	true
38	neoclassical	_	neoclassical	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	42	MOD_mod	true
39	Thissio	_name_	Thissio	NNP	O	(p<root> / --LEX--  :mod-of (s<mod>))	_NAME_	(mod())	42	MOD_mod	true
40	and	_	and	CC	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	42	MOD_mod	true
41	Pláka	_name_	Pláka	NNP	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	42	MOD_mod	true
42	districts	_	district	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	34	APP_s	true
43	.	_	.	.	O	_	cause-01	_	0	IGNORE	true

nodealignment=[9@@n2@@_NAME_, 32@@a@@and, 28@@s@@pleasant, 26@@m@@network, 1@@s@@most, 14@@n@@_NAME_, 30@@g@@street, 2@@s@@notable, 7@@d@@project, 5@@n@@_NAME_, 42@@d@@district, 9@@f@@facility, 14@@c@@country, 29@@s@@pedestrianize-01, 20@@d@@monument, 19@@a@@and, 12@@b@@connect-01, 38@@p@@neoclassical, 15@@p@@classical, 39@@p@@_NAME_, 34@@s@@restore-01, 40@@p@@and, 17@@p@@era, 41@@p@@Pláka, 18@@d@@ruin, 6@@a@@facelift-01, 5@@c@@country, 23@@d@@other, 37@@p@@picturesque]
sentence=1	I	i	I	PRP	O	(d<root> / --LEX--)	$REPL$	()	2	APP_s	true
2	regret	_	regret	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
3	deeply	_	deeply	RB	O	(s<root> / --LEX--  :ARG1 (p<s>))	deep-02	(s())	2	MOD_s	true
4	any	_	any	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	5	MOD_mod	true
5	injuries	_	injury	NNS	O	(d<root> / --LEX--)	injure-01	()	2	APP_o	true
6	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
7	may	_	may	MD	O	(s<root> / --LEX--  :ARG1 (p<s>))	possible-01	(s())	10	MOD_s	true
8	have	_	have	VB	O	_	cause-01	_	0	IGNORE	true
9	been	_	be	VBN	O	_	person	_	0	IGNORE	true
10	done	_	do	VBN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-02	(s())	2	MOD_s	true
11	in	_	in	IN	O	_	i	_	0	IGNORE	true
12	the	_	the	DT	O	_	event	_	0	IGNORE	true
13	course	_	course	NN	O	_	$LEMMA$	_	0	IGNORE	true
14	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
15	the	_	the	DT	O	_	thing	_	0	IGNORE	true
16	events	_	event	NNS	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	10	MOD_mod	true
17	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
18	led	_	lead	VBD	O	(t<root> / --LEX--  :ARG0 (y<s>)  :ARG2 (i<o>))	$LEMMA$-03	(s(), o())	16	MOD_s	true
19	to	_	to	IN	O	_	cause-01	_	0	IGNORE	true
20	this	_	this	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	21	MOD_mod	true
21	decision	_	decision	NN	O	(d<root> / --LEX--)	decide-01	()	18	APP_o	true
22	.	_	.	.	O	_	cause-01	_	0	IGNORE	true

nodealignment=[3@@s@@deep-02, 16@@n@@event, 20@@p@@this, 4@@p@@any, 7@@s@@possible-01, 18@@t@@lead-03, 10@@s@@do-02, 21@@d@@decide-01, 1@@d@@i, 2@@s@@regret-01, 5@@d@@injure-01]
sentence=1	In	in	in	IN	O	_	cause-01	_	0	IGNORE	true
2	May,	may,	May,	NNP	O	(d<root> / date-entity  :year (explicitanon2 / --LEX--)  :time-of (m<mod>))	_NUMBER_	(mod())	5	MOD_mod	true
3	Maxime_Bernier	_name_	Bernier	NNP	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	5	APP_s	true
4	was	_	be	VBD	O	_	cause-01	_	0	IGNORE	true
5	forced	_	force	VBN	O	(o<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (s<o>))	$LEMMA$-01	(o(s()))	0	ROOT	true
6	to	_	to	TO	O	_	cause-01	_	0	IGNORE	true
7	resign	_	resign	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	5	APP_o	true
8	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
9	Foreign_Affairs	_name_	Affairs	NNPS	O	(n<root> / --LEX--  :name-of (o / organization  :mod-of (e<mod>)))	_NAME_	(mod())	10	MOD_mod	true
10	minister	_	minister	NN	O	(d<root> / --LEX--)	$LEMMA$	()	7	APP_o	true
11	after	_	after	IN	O	(w<root> / --LEX--  :op1 (h<op1>)  :time-of (b<mod>))	$LEMMA$	(op1(), mod())	5	MOD_mod	true
12	it	_	it	PRP	O	_	cause-01	_	0	IGNORE	true
13	became	_	become	VBD	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	11	APP_op1	true
14	known	_	known	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	13	APP_s	true
15	that	_	that	IN	O	_	cause-01	_	0	IGNORE	true
16	he	_	he	PRP	O	_	$LEMMA$	_	0	IGNORE	true
17	left	_	leave	VBD	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-11	(s())	14	APP_s	true
18	sensitive	_	sensitive	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-03	(s())	19	MOD_s	true
19	documents	_	document	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	17	APP_s	true
20	at	_	at	IN	O	_	person	_	0	IGNORE	true
21	the	_	the	DT	O	_	person	_	0	IGNORE	true
22	apartment	_	apartment	NN	O	(w<root> / --LEX--  :poss (h<poss>)  :location-of (r<mod>))	$LEMMA$	(mod(), poss())	17	MOD_mod	true
23	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
24	his	_	he	PRP$	O	_	have-org-role-91	_	0	IGNORE	true
25	then-girlfriend	_	then-girlfriend	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$	(s())	26	MOD_s	true
26	Julie_Couillard	_name_	Couillard	NNP	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	22	APP_poss	true
27	who	_	who	WP	O	_	name	_	0	IGNORE	true
28	had	_	have	VBD	O	_	$LEMMA$-03	_	0	IGNORE	true
29	ties	_	tie	NNS	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	26	MOD_s	true
30	to	_	to	IN	O	_	-	_	0	IGNORE	true
31	the	_	the	DT	O	_	person	_	0	IGNORE	true
32	Hells_Angels	_name_	Angels	NNPS	O	(n<root> / --LEX--  :name-of (s<mod>))	_NAME_	(mod())	34	MOD_mod	true
33	biker	_	biker	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	34	MOD_mod	true
34	gang	_	gang	NN	O	(d<root> / --LEX--)	$LEMMA$	()	29	APP_o	true
35	.	_	.	.	O	_	name	_	0	IGNORE	true

nodealignment=[3@@n@@_NAME_, 29@@s@@tie-01, 25@@s@@then-girlfriend, 22@@w@@apartment, 5@@o@@force-01, 2@@d@@date-entity, 19@@d@@document, 32@@n@@_NAME_, 33@@p@@biker, 26@@p@@person, 18@@s@@sensitive-03, 26@@n@@_NAME_, 7@@s@@resign-01, 9@@o@@organization, 34@@d@@gang, 17@@s@@leave-11, 14@@s@@known-01, 2@@explicitanon2@@_NUMBER_, 3@@p@@person, 13@@s@@become-01, 10@@d@@minister, 11@@w@@after, 9@@n@@_NAME_]
sentence=1	In	in	in	IN	O	_	$LEMMA$	_	0	IGNORE	true
2	the	_	the	DT	O	_	person	_	0	IGNORE	true
3	background,	_	background,	NNS	O	_	include-91	_	0	IGNORE	true
4	shining,	_	shining,	NNP	O	_	and	_	0	IGNORE	true
5	is	_	be	VBZ	O	_	$LEMMA$-located-at-91	_	0	IGNORE	true
6	Renata,	_name_	renata,	CD	O	(d<root> / --LEX--)	$LEMMA$	()	0	ROOT	true
7	who	_	who	WP	O	_	name	_	0	IGNORE	true
8	is	_	be	VBZ	O	_	person	_	0	IGNORE	true
9	young	_	young	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	6	MOD_mod	true
10	and	_	and	CC	O	_	$LEMMA$	_	0	IGNORE	true
11	healthy	_	healthy	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	23	MOD_mod	true
12	and	_	and	CC	O	_	$LEMMA$	_	0	IGNORE	true
13	good,	_	good,	NNP	O	_	and	_	0	IGNORE	true
14	raising	_	raise	VBG	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	6	MOD_s	true
15	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
16	arm	_	arm	NN	O	(d<root> / --LEX--)	$LEMMA$	()	14	APP_o	true
17	to	_	to	TO	O	_	cause-01	_	0	IGNORE	true
18	show	_	show	VB	O	(s<root> / --LEX--  :ARG1 (i2<o>)  :ARG0 (i<s>)  :purpose-of (c<mod>))	$LEMMA$-01	(mod(), s(), o())	14	MOD_mod	true
19	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
20	grandmother	_	grandmother	NN	O	(p<root> / person  :ARG0-of (h / have-rel-role-91  :ARG2 (f / --LEX--)))	$LEMMA$	()	18	APP_o	true
21	that	_	that	IN	O	_	$LEMMA$	_	0	IGNORE	true
22	the	_	the	DT	O	_	cause-01	_	0	IGNORE	true
23	chip	_	chip	NN	O	(d<root> / --LEX--)	$LEMMA$	()	26	APP_dom	true
24	is	_	be	VBZ	O	_	prove-01	_	0	IGNORE	true
25	nothing,	_	nothing,	CD	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	mean-01	(s(), o())	6	MOD_s	true
26	nothing	_	nothing	NN	O	(r<root> / --LEX--  :domain (q<dom>))	$LEMMA$	(dom())	25	APP_o	true
27	at	_	at	RB	O	_	$LEMMA$	_	0	IGNORE	true
28	all	_	all	RB	O	(p<root> / --LEX--  :mod-of (s<mod>))	at-$LEMMA$	(mod())	26	MOD_mod	true
29	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[16@@d@@arm, 23@@d@@chip, 11@@p@@healthy, 26@@r@@nothing, 14@@s@@raise-01, 25@@s@@mean-01, 6@@d@@renata,, 18@@s@@show-01, 20@@f@@grandmother, 28@@p@@at-all, 20@@h@@have-rel-role-91, 9@@p@@young, 20@@p@@person]
sentence=1	The	the	the	DT	O	_	person	_	0	IGNORE	true
2	local	_	local	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-02	(s())	4	MOD_s	true
3	rum	_	rum	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	4	MOD_mod	true
4	distilleries	_	distillery	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	5	APP_s	true
5	offer	_	offer	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
6	tours	_	tour	NNS	O	(d<root> / --LEX--)	$LEMMA$-01	()	5	APP_o	true
7	(check	_	(check	NFP	O	(explicitanon0<root> / --LEX--  :quant-of (b<mod>))	$LEMMA$-00	(mod())	6	MOD_mod	true
8	for	_	for	IN	O	_	and	_	0	IGNORE	true
9	opening	_	opening	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	open-01	(mod())	10	MOD_mod	true
10	times	_	time	NNS	O	(b<root> / --LEX--  :duration-of (e<mod>))	$LEMMA$	(mod())	5	MOD_mod	true
11	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
12	they	_	they	PRP	O	_	$LEMMA$	_	0	IGNORE	true
13	may	_	may	MD	O	(s<root> / --LEX--  :ARG1 (p<s>))	possible-01	(s())	14	MOD_s	true
14	very	_	very	RB	O	(explicitanon0<root> / --LEX--  :quant-of (b<mod>))	$LEMMA$-01	(mod())	5	MOD_mod	true
15	from	_	from	IN	O	_	$LEMMA$	_	0	IGNORE	true
16	season	_	season	NN	O	(g<root> / --LEX--  :prep-from-of (f<mod>))	$LEMMA$	(mod())	17	MOD_mod	true
17	to	_	to	IN	O	(b<root> / --LEX--  :location-of (h<mod>))	and	(mod())	5	MOD_mod	true
18	season)	_	season)	NNP	O	_	$LEMMA$	_	0	IGNORE	true
19	which	_	which	WDT	O	_	amr-unknown	_	0	IGNORE	true
20	are	_	be	VBP	O	_	deserve-01	_	0	IGNORE	true
21	certainly	_	certainly	RB	O	(p<root> / --LEX--  :mod-of (s<mod>))	certain	(mod())	22	MOD_mod	true
22	worth	_	worth	JJ	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-02	(s(), o())	6	MOD_s	true
23	the	_	the	DT	O	_	thing	_	0	IGNORE	true
24	while	_	while	NN	O	(d<root> / --LEX--)	$LEMMA$	()	22	APP_o	true
25	since	_	since	IN	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	cause-01	(s(), o())	22	MOD_o	true
26	rum	_	rum	NN	O	(d<root> / --LEX--)	$LEMMA$	()	27	APP_s	true
27	production	_	production	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	produce-01	(s())	32	APP_dom	true
28	is	_	be	VBZ	O	_	person	_	0	IGNORE	true
29	a	_	a	DT	O	_	thing	_	0	IGNORE	true
30	very	_	very	RB	O	(s<root> / --LEX--  :degree-of (t<mod>))	$LEMMA$	(mod())	31	MOD_mod	true
31	integral	_	integral	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	27	MOD_mod	true
32	part	_	part	NN	O	(c<root> / --LEX--  :poss (a<poss>)  :domain (t<dom>))	$LEMMA$	(dom(), poss())	25	APP_s	true
33	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
34	Guadeloupe's	guadeloupe's	Guadeloupe's	NNP	O	(d<root> / --LEX--)	_NAME_	()	35	APP_poss	true
35	economy	_	economy	NN	O	(m<root> / --LEX--  :poss (i<poss>))	$LEMMA$	(poss())	32	APP_poss	true
36	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[17@@b@@and, 7@@explicitanon0@@(check-00, 32@@c@@part, 5@@s@@offer-01, 6@@d@@tour-01, 30@@s@@very, 16@@g@@season, 3@@p@@rum, 27@@s@@produce-01, 31@@p@@integral, 34@@d@@_NAME_, 14@@explicitanon0@@very-01, 35@@m@@economy, 26@@d@@rum, 21@@p@@certain, 2@@s@@local-02, 13@@s@@possible-01, 25@@s@@cause-01, 4@@d@@distillery, 9@@p@@open-01, 24@@d@@while, 10@@b@@time, 22@@s@@worth-02]
sentence=1	I've	i've	I've	NNP	O	_	$LEMMA$	_	0	IGNORE	true
2	got	_	get	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
3	an	_	an	DT	O	_	thing	_	0	IGNORE	true
4	app	_	app	NN	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_o	true
5	called"	_	called"	NFP	O	_	thing	_	0	IGNORE	true
6	what	_	what	WP	O	_	and	_	0	IGNORE	true
7	to	_	to	TO	O	_	thing	_	0	IGNORE	true
8	expect",	_	expect",	VB	O	(s<root> / --LEX--  :ARG1 (p<s>))	thing	(s())	2	MOD_s	true
9	put	_	put	VBN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	16	APP_op1	true
10	in	_	in	RP	O	(d<root> / --LEX--)	i	()	2	APP_s	true
11	my,	_	my,	NNS	O	_	and	_	0	IGNORE	true
12	you	_	you	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	14	APP_s	true
13	know,	_	know,	CD	O	_	and	_	0	IGNORE	true
14	cycle	_	cycle	NN	O	(i<root> / --LEX--  :ARG1 (i2<s>)  :mod-of (m<mod>))	$LEMMA$	(mod(), s())	15	MOD_mod	true
15	situation	_	situation	NN	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_o	true
16	and	_	and	CC	O	(a<root> / --LEX--  :op1 (c<op1>)  :op2 (l<op2>))	$LEMMA$	(op2(s()), op1(s()))	2	MOD_s	true
17	have	_	have	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-03	(s(), o())	16	APP_op2	true
18	an	_	an	DT	O	_	1	_	0	IGNORE	true
19	estimated	_	estimate	VBN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	20	MOD_s	true
20	due	_	due	JJ	O	(d<root> / --LEX--)	$LEMMA$	()	17	APP_o	true
21	date,	_	date,	NNP	O	_	and	_	0	IGNORE	true
22	which	_	which	WDT	O	_	i	_	0	IGNORE	true
23	is	_	be	VBZ	O	_	equal-01	_	0	IGNORE	true
24	about	_	about	IN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	10	MOD_mod	true
25	mid-September	mid-september	mid-september	NN	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	8	MOD_mod	true
26	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[24@@p@@about, 9@@s@@put-01, 15@@d@@situation, 8@@s@@thing, 2@@s@@get-01, 16@@a@@and, 19@@s@@estimate-01, 20@@d@@due, 10@@d@@i, 4@@d@@app, 14@@i@@cycle, 12@@d@@you, 25@@n@@mid-september, 17@@s@@have-03]
sentence=1	Flowers	flowers	flower	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_s	true
2	blooming	_	bloom	VBG	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	3	APP_s	true
3	create	_	create	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
4	a	_	a	DT	O	_	1	_	0	IGNORE	true
5	hormone	_	hormone	NN	O	(d<root> / --LEX--)	$LEMMA$	()	6	APP_s	true
6	change	_	change	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	3	APP_o	true
7	which	_	which	WDT	O	_	$LEMMA$	_	0	IGNORE	true
8	dramatically	_	dramatically	RB	O	(t<root> / --LEX--  :manner-of (h<mod>))	dramatic	(mod())	9	MOD_mod	true
9	reduces	_	reduce	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	6	MOD_s	true
10	the	_	the	DT	O	_	and	_	0	IGNORE	true
11	flavor	_	flavor	NN	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_o	true
12	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
13	the	_	the	DT	O	_	he	_	0	IGNORE	true
